x,y
31.34,47.17
32.75,54.52
31.75,45.55
31.06,58.25
32.26,52.88
33.95,58.3
32.63,47.11
32.16,52.76
30.2,47.18
32.87,53.23
33.3,53.47
33.95,47.3
30.47,46.47
30.13,47.0
31.63,47.42
32.58,51.45
33.09,54.05
32.13,50.88
30.61,59.02
31.36,59.37
31.12,43.29
32.55,45.37
32.87,52.38
30.27,50.84
30.8,51.68
32.36,48.38
32.88,58.85
32.46,58.4
32.87,52.47
32.55,50.07
33.0,54.42
32.62,54.42
32.31,53.46
32.98,51.47
32.89,48.67
32.36,54.1
32.91,48.32
32.67,46.88
32.77,49.79
32.56,50.9
32.25,46.54
32.9,54.59
32.83,45.52
32.68,54.35
32.45,53.22
32.88,49.97
32.62,50.56
32.75,50.61
32.4,54.25
32.54,48.24
32.25,48.43
32.4,46.54
32.15,50.64
32.52,45.58
32.49,53.47
32.79,54.33
32.48,49.98
32.64,48.12
32.14,49.19
32.43,49.86
32.59,48.47
32.04,52.7
32.2,54.13
32.73,47.87
32.66,49.33
32.28,53.5
32.59,47.49
32.56,45.57
32.86,51.16
32.31,49.08
32.32,51.82
32.72,52.05
32.72,52.31
32.11,48.9
32.89,47.96
32.19,54.18
32.04,45.43
32.79,47.02
32.53,47.65
32.09,54.84
32.58,48.88
32.43,49.17
32.81,50.1
32.3,51.6
32.23,51.4
32.14,46.2
32.63,47.6
32.19,52.53
32.78,45.78
32.26,45.06
32.26,49.55
32.16,50.47
32.61,50.59
32.92,45.42
32.79,49.05
32.12,52.38
32.91,45.52
32.76,48.51
