x,y
31.79,38.53
34.84,31.32
37.63,35.4
36.57,33.4
32.57,38.16
33.37,37.25
39.15,34.74
36.63,32.36
38.23,37.11
38.55,30.31
30.83,38.3
32.64,32.03
34.25,33.69
36.99,33.74
36.68,38.42
31.98,33.71
31.22,37.35
33.8,31.66
33.64,37.08
30.83,32.46
30.89,33.24
32.51,31.71
33.46,39.85
37.39,33.64
31.04,39.96
39.17,35.26
38.28,37.29
33.6,34.36
37.07,36.28
37.45,35.62
39.12,41.13
40.07,40.92
41.56,38.2
41.93,38.64
35.75,37.91
37.45,37.68
40.86,37.52
40.81,36.74
38.25,39.65
36.52,35.56
41.2,40.56
41.92,40.81
39.63,40.42
38.93,35.04
36.78,41.11
39.21,40.81
37.49,41.6
35.16,40.51
41.46,37.31
41.29,38.92
38.3,36.65
41.15,41.55
38.11,41.36
38.53,40.91
36.39,40.41
39.67,38.2
35.18,39.32
36.39,41.82
39.82,39.35
39.37,40.61
35.48,41.57
35.9,41.61
37.21,41.86
38.66,36.53
41.01,41.93
36.15,40.62
38.53,39.67
36.53,35.38
38.09,40.43
41.3,36.0
36.67,38.1
36.14,35.24
37.84,41.4
39.44,38.46
38.54,36.96
38.49,37.03
39.11,41.28
35.46,39.15
40.92,37.4
40.12,41.25
38.59,39.12
35.34,35.8
39.37,40.73
35.48,38.13
38.37,39.23
38.04,39.71
38.94,37.13
40.4,40.33
37.22,36.27
39.17,38.86
40.78,41.85
35.54,41.91
41.1,36.42
41.95,38.11
41.46,37.31
39.25,39.67
37.1,38.99
37.84,41.6
38.18,39.3
38.73,36.71
33.78,40.41
