x,y
31.79,38.53
34.84,31.32
37.63,35.4
36.57,33.4
32.57,38.16
33.37,37.25
39.15,34.74
36.63,32.36
38.23,37.11
38.55,30.31
30.83,38.3
32.64,32.03
34.25,33.69
36.99,33.74
36.68,38.42
31.98,33.71
31.22,37.35
33.8,31.66
33.64,37.08
30.83,32.46
30.89,33.24
32.51,31.71
33.46,39.85
37.39,33.64
31.04,39.96
39.17,35.26
38.28,37.29
33.6,34.36
37.07,36.28
37.45,35.62
39.12,41.13
40.07,40.92
41.56,38.2
41.93,38.64
35.75,37.91
37.45,37.68
40.86,37.52
40.81,36.74
38.25,39.65
36.52,35.56
41.2,40.56
41.92,40.81
39.63,40.42
38.93,35.04
36.78,41.11
39.21,40.81
37.49,41.6
35.16,40.51
41.46,37.31
41.29,38.92
38.3,36.65
41.15,41.55
38.11,41.36
38.53,40.91
36.39,40.41
39.67,38.2
35.18,39.32
36.39,41.82
39.82,39.35
39.37,40.61
35.48,41.57
35.9,41.61
37.21,41.86
38.66,36.53
41.01,41.93
36.15,40.62
38.53,39.67
36.53,35.38
38.09,40.43
41.3,36.0
36.67,38.1
36.14,35.24
37.84,41.4
39.44,38.46
38.54,36.96
38.49,37.03
39.11,41.28
35.46,39.15
40.92,37.4
40.12,41.25
38.59,39.12
35.34,35.8
39.37,40.73
35.48,38.13
38.37,39.23
38.04,39.71
38.94,37.13
40.4,40.33
37.22,36.27
39.17,38.86
40.78,41.85
35.54,41.91
41.1,36.42
41.95,38.11
41.46,37.31
39.25,39.67
37.1,38.99
37.84,41.6
38.18,39.3
38.73,36.71
31.34,47.17
32.75,54.52
31.75,45.55
31.06,58.25
32.26,52.88
30.22,42.46
33.95,58.3
32.63,47.11
33.78,40.41
32.16,52.76
30.2,47.18
32.87,53.23
33.3,53.47
33.95,47.3
30.47,46.47
30.13,47.0
31.63,47.42
32.58,51.45
33.09,54.05
32.13,50.88
30.61,59.02
31.36,59.37
31.12,43.29
32.55,45.37
32.87,52.38
30.27,50.84
30.8,51.68
32.36,48.38
32.88,58.85
32.46,58.4
32.87,52.47
32.55,50.07
33.0,54.42
32.62,54.42
32.31,53.46
32.98,51.47
32.89,48.67
32.36,54.1
32.91,48.32
32.67,46.88
32.77,49.79
32.56,50.9
32.25,46.54
32.9,54.59
32.83,45.52
32.68,54.35
32.45,53.22
32.88,49.97
32.62,50.56
32.75,50.61
32.4,54.25
32.54,48.24
32.25,48.43
32.4,46.54
32.15,50.64
32.52,45.58
32.49,53.47
32.79,54.33
32.48,49.98
32.64,48.12
32.14,49.19
32.43,49.86
32.59,48.47
32.04,52.7
32.2,54.13
32.73,47.87
32.66,49.33
32.28,53.5
32.59,47.49
32.56,45.57
32.86,51.16
32.31,49.08
32.32,51.82
32.72,52.05
32.72,52.31
32.11,48.9
32.89,47.96
32.19,54.18
32.04,45.43
32.79,47.02
32.53,47.65
32.09,54.84
32.58,48.88
32.43,49.17
32.81,50.1
32.3,51.6
32.23,51.4
32.14,46.2
32.63,47.6
32.19,52.53
32.78,45.78
32.26,45.06
32.26,49.55
32.16,50.47
32.61,50.59
32.92,45.42
32.79,49.05
32.12,52.38
32.91,45.52
32.76,48.51
